"name","class","rating","status","constituency","connection","officer","proposal","priority","zip","af12","af13","af14","af15","af16","cap12","cap13","cap14","cap15","cap16","city","state","latitude","longitude"
"al-Habeeb, Salma",1951,NA,NA,"Alumn","Very Connected",NA,990876,"Residence Hall","10560",0,285,1688,0,20,30000,90000,0,210000,0,"North Salem","NY",41.32797,-73.61306
"Salindeho, Akhilesh",1991,1690000,"Not a Prospect","Alumn","Somewhat Connected","el-Salehi, Ziyaad",1477326,"Professorship","57020",0,0,1882,0,979,20000,120000,60000,220000,0,"Crooks","SD",43.672525,-96.81757
"Pina, Ilena",1959,0,"Annual Fund Leadership","Alumn","Very Connected","el-Pirani, Sabriyya",202170,"Unresistricted","68875",105,0,577,0,892,40000,90000,50000,120000,0,"Scotia","NE",41.523574,-98.68461
"Foster, Jeovanni",1997,0,"Not a Prospect","Alumn","Somewhat Connected","el-Pirani, Sabriyya",NA,"","26753",0,0,0,0,0,0,0,210000,80000,210000,"Ridgeley","WV",39.579717,-78.78539
"Konishi, Alexandria",2014,1240000,"Not a Prospect","Alumn","Connected","Ortega, Amanda",NA,"","29406",0,0,0,2166,0,140000,0,0,0,110000,"Charleston","SC",32.918757,-80.0228
"Lorenz, Sasha",1989,0,"Not a Prospect","Alumn","Not Connected",NA,665225,"Professorship","74006",0,2131,0,258,606,0,0,0,20000,0,"Bartlesville","OK",36.733398,-95.92404
"Johnson, Genesis",1968,NA,NA,"Alumn","Modestly Connected",NA,NA,"","23436",0,535,46,0,1404,90000,120000,0,110000,0,"Suffolk","VA",36.894736,-76.51281
"Duncan, Dylan",1985,NA,NA,"Alumn","Connected",NA,0,"Athletics","85703",0,1922,0,0,0,50000,180000,180000,0,0,"Tucson","AZ",31.970131,-111.890713
"Park, Lucas",1979,1040000,"Cultivation","Alumn","Somewhat Connected",NA,1504344,"Math/Science Center","21150",2059,108,0,0,1174,40000,0,0,0,220000,"Simpsonville","MD",39.236405,-76.941902
"Patrick, Joseph",1970,210000,"Cultivation","Alumn","Connected","Center, Victoria",NA,"","81329",0,0,0,0,572,150000,70000,60000,140000,130000,"Marvel","CO",37.092605,-108.125194
"Singh, John",1958,790000,"Not a Prospect","Alumn","Connected","el-Salehi, Ziyaad",NA,"","10273",1341,239,1811,0,0,70000,0,80000,0,0,"New York","NY",40.780751,-73.977182
"Hopper, Alyssa",1971,0,"Annual Fund Leadership","Alumn","Not Connected","Gaytan, Ivan",NA,"","87037",971,0,1313,1300,1132,90000,230000,0,0,60000,"Nageezi","NM",36.17798,-107.80037
"el-Salehi, Daifallah",1958,NA,NA,"Alumn","Not Connected",NA,NA,"","70420",846,0,757,650,0,0,110000,0,90000,0,"Abita Springs","LA",30.482725,-90.00103
